claveU,ID,nroViaje,dive,julianoIni,duration,MaxDepth,julianoMax,AvgDepth,MinDepth,BottomTemp,SurfaceTemp,intervaloEnSuperficie,donde,longi,lati,actuBuceo
ANIF,82330,1,11629,245.753935,39.33,753.50,245.769329,543.42,14.00,5.9,8.5,2.83,F,-54.081000,-38.741000,x
ANIF,82333,1,11632,245.821181,20.50,544.00,245.827894,328.30,3.00,7.5,8.5,2.33,F,-54.057000,-38.728000,x
ANIF,82343,1,11642,245.979051,19.83,618.50,245.984722,383.45,7.00,7.6,8.6,2.33,F,-54.060000,-38.772000,x
ANIF,82344,1,11643,245.994444,21.00,602.00,246.000694,378.94,3.00,7.4,8.6,2.17,F,-54.041000,-38.771000,x
ANIF,82354,1,11653,246.157523,20.83,577.00,246.163426,353.04,2.50,7.6,8.7,2.50,F,-54.051000,-38.805000,x
ANIF,82358,1,11657,246.221644,21.00,697.00,246.229861,415.84,3.00,6.7,8.6,2.67,F,-54.108000,-38.826000,x
ANIF,82359,1,11658,246.238079,26.00,633.00,246.246065,428.62,6.00,6.9,8.7,2.67,F,-54.113000,-38.830000,x
ANIF,82362,1,11661,246.289005,23.00,602.50,246.295023,394.83,9.50,7.3,8.8,2.83,F,-54.011000,-38.852000,x
ANIF,82370,1,11669,246.468981,25.33,795.00,246.476736,470.81,12.50,7.0,9.1,2.17,F,-54.082000,-38.934000,x
ANIF,82399,1,11698,246.828009,21.33,494.50,246.838079,344.89,10.00,7.6,8.5,2.33,F,-54.070000,-38.962000,x
ANIF,82436,1,11735,247.430671,27.50,643.50,247.437731,402.52,8.50,7.5,8.7,2.17,F,-54.078000,-38.996000,x
ANIF,82437,1,11736,247.451273,24.00,633.50,247.462616,418.04,2.50,6.7,9.9,2.17,F,-54.154000,-38.972000,x
ANIF,82448,1,11747,247.668519,20.83,481.50,247.676157,333.95,6.00,8.4,10.1,1.67,F,-54.446000,-38.992000,x
ANIF,82454,1,11753,247.738773,21.83,549.50,247.745486,351.55,8.00,7.8,10.3,2.33,F,-54.252000,-38.891000,x
ANIF,82482,1,11781,248.296065,20.50,573.50,248.302083,354.29,4.50,7.1,7.9,2.17,F,-54.179000,-38.545000,x
ANIF,82493,1,11792,248.482870,29.17,407.00,248.494213,310.38,15.00,6.0,7.7,2.33,F,-54.273000,-38.483000,x
ANIF,82507,1,11806,248.773148,23.33,447.00,248.779051,330.89,5.50,6.3,8.5,2.17,F,-54.291000,-38.436000,x
ANIF,82513,1,11812,248.884028,19.50,650.00,248.890162,376.91,11.50,6.6,6.9,2.17,F,-54.295000,-38.283000,x
ANIF,82520,1,11819,249.020139,20.83,670.00,249.026736,409.34,4.50,6.1,6.7,2.50,F,-54.063000,-38.246000,x
ANIF,82527,1,11826,249.138657,22.67,739.50,249.147106,443.32,9.00,5.9,6.4,2.67,F,-54.235000,-38.339000,x
ANIF,82535,1,11834,249.290278,23.33,696.00,249.298264,400.31,2.50,5.9,6.3,2.67,F,-54.468000,-38.332000,x
ANIF,82561,1,11860,249.821181,21.67,566.00,249.830208,359.33,9.00,5.7,7.5,2.00,F,-54.463000,-38.118000,x
ANIF,82575,1,11874,250.132292,22.00,597.00,250.139931,373.61,4.50,6.3,8.5,2.33,F,-54.981000,-38.197000,x
ANIF,82580,1,11879,250.223843,24.00,506.50,250.232292,358.43,2.50,6.3,8.4,2.17,F,-54.916000,-38.160000,x
ANIF,82583,1,11882,250.288310,31.50,537.50,250.296759,419.44,7.50,6.0,8.0,3.00,F,-54.862000,-38.154000,x
ANIF,82589,1,11888,250.409375,24.17,586.50,250.417014,399.68,11.00,6.3,9.4,2.00,F,-54.951000,-38.192000,x
ANIF,82644,1,11943,251.397338,23.50,95.00,251.399190,82.13,2.50,8.6,8.9,2.17,Pv,-55.894000,-38.371000,x
ANIF,82661,1,11960,251.710301,18.50,92.00,251.712963,76.77,2.50,8.9,9.2,2.33,Pv,-56.174000,-38.515000,x
ANIF,82734,1,12033,252.775000,20.17,89.50,252.781944,81.89,10.00,8.4,8.8,1.67,Pv,-56.971000,-39.020000,x
ANIF,82739,1,12038,252.848380,18.33,87.00,252.851157,73.91,6.50,8.3,8.4,1.67,Pv,-57.048000,-39.035000,x
ANIF,82758,1,12057,253.109028,18.17,78.50,253.112384,68.64,6.00,9.2,9.3,1.83,Pv,-57.207000,-39.211000,x
ANIF,82767,1,12066,253.245602,21.33,82.50,253.248611,68.91,2.50,9.4,9.1,1.83,Pv,-57.509000,-39.299000,x
ANIF,82799,1,12098,253.771991,20.00,82.00,253.779514,73.51,6.00,8.3,8.9,1.67,Pv,-57.927000,-39.525000,x
ANIF,82819,1,12118,254.059491,18.00,91.00,254.061458,67.80,6.50,8.3,8.4,2.00,Pv,-58.258000,-39.682000,x
ANIF,82822,1,12121,254.101968,16.83,80.50,254.104051,64.79,8.00,8.4,8.4,2.00,Pv,-58.111000,-39.741000,x
ANIF,82835,1,12134,254.313310,23.33,88.00,254.326273,66.09,2.50,8.1,8.4,2.33,Pv,-58.590000,-39.846000,x
ANIF,82845,1,12144,254.490278,21.00,86.50,254.494097,72.35,4.50,9.1,11.8,2.33,Pv,-58.800000,-39.827000,x
ANIF,82864,1,12163,254.768171,18.17,88.00,254.771181,72.20,3.00,8.7,9.3,2.33,Pv,-59.041000,-40.128000,x
ANIF,82877,1,12176,254.974074,17.33,86.50,254.976157,71.96,2.50,9.0,9.0,1.67,Pv,-59.178000,-40.155000,x
ANIF,82880,1,12179,255.009954,15.17,85.00,255.013426,67.01,8.00,9.0,9.2,1.67,Pv,-59.269000,-40.179000,x
ANIF,82885,1,12184,255.074306,19.83,80.50,255.076736,65.72,5.50,9.3,9.5,1.67,Pv,-59.400000,-40.202000,x
ANIF,82892,1,12191,255.169676,18.00,79.50,255.171065,63.71,7.50,9.6,9.6,1.67,Pv,-59.221000,-40.184000,x
ANIF,82897,1,12196,255.239468,18.50,79.00,255.241319,63.07,5.00,9.6,9.6,1.83,Pv,-59.340000,-40.326000,x
ANIF,82902,1,12201,255.310648,16.83,79.00,255.312847,55.40,2.50,9.8,9.8,2.33,Pv,-59.517000,-40.374000,x
ANIF,82910,1,12209,255.413773,18.67,80.50,255.415394,69.85,2.50,9.5,9.7,1.50,Pv,-59.604000,-40.418000,x
ANIF,82920,1,12219,255.520139,10.83,78.00,255.524074,67.51,10.00,9.7,11.0,1.67,Pv,-59.713000,-40.470000,x
